"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 03 14:45:29 GMT 2021","Fri Dec 03 14:45:31 GMT 2021","2495","Firefox","basics/third.test.ts","","","","third basic test",""
"passed","Fri Dec 03 14:44:46 GMT 2021","Fri Dec 03 14:44:52 GMT 2021","5132","Chrome","basics/first.test.ts","","","","first basic test",""
"passed","Fri Dec 03 14:45:26 GMT 2021","Fri Dec 03 14:45:26 GMT 2021","1","Firefox","basics/getRunTimeConfig.test.ts","Get runtime config","","","should return config",""
"broken","Fri Dec 03 14:49:27 GMT 2021","Fri Dec 03 14:52:38 GMT 2021","190884","iPhone 11","recorded/login.test.ts","","","","test",""
"passed","Fri Dec 03 14:49:24 GMT 2021","Fri Dec 03 14:49:32 GMT 2021","8430","iPhone 11","preserveLogin/auth.test.ts","","","","Authenticate from saved storage state",""
"failed","Fri Dec 03 14:49:32 GMT 2021","Fri Dec 03 14:49:42 GMT 2021","9592","iPhone 11","recorded/sample.test.ts","","","","recorded test",""
"passed","Fri Dec 03 14:45:50 GMT 2021","Fri Dec 03 14:46:06 GMT 2021","15913","Firefox","pom/models_pom.test.ts","","","","Models Page Object Model",""
"broken","Fri Dec 03 14:45:07 GMT 2021","Fri Dec 03 14:48:29 GMT 2021","201554","Chrome","recorded/login.test.ts","","","","test",""
"passed","Fri Dec 03 14:44:49 GMT 2021","Fri Dec 03 14:44:53 GMT 2021","4516","Chrome","basics/second.test.ts","","","","second basic test",""
"broken","Fri Dec 03 14:46:14 GMT 2021","Fri Dec 03 14:49:27 GMT 2021","192690","Firefox","recorded/login.test.ts","","","","test",""
"passed","Fri Dec 03 14:46:06 GMT 2021","Fri Dec 03 14:46:14 GMT 2021","8032","Firefox","preserveLogin/auth.test.ts","","","","Authenticate from saved storage state",""
"passed","Fri Dec 03 14:45:01 GMT 2021","Fri Dec 03 14:45:07 GMT 2021","6407","Chrome","preserveLogin/auth.test.ts","","","","Authenticate from saved storage state",""
"passed","Fri Dec 03 14:48:40 GMT 2021","Fri Dec 03 14:48:43 GMT 2021","2607","iPhone 11","basics/second.test.ts","","","","second basic test",""
"passed","Fri Dec 03 14:45:13 GMT 2021","Fri Dec 03 14:45:21 GMT 2021","8656","Chrome","recorded/sample.test.ts","","","","recorded test",""
"failed","Fri Dec 03 14:48:45 GMT 2021","Fri Dec 03 14:49:05 GMT 2021","19473","iPhone 11","pom/login_pom.test.ts","","","","Login Page Object Model",""
"passed","Fri Dec 03 14:45:22 GMT 2021","Fri Dec 03 14:45:26 GMT 2021","4135","Firefox","basics/first.test.ts","","","","first basic test",""
"failed","Fri Dec 03 14:48:29 GMT 2021","Fri Dec 03 14:48:36 GMT 2021","6679","Firefox","recorded/sample.test.ts","","","","recorded test",""
"passed","Fri Dec 03 14:44:54 GMT 2021","Fri Dec 03 14:45:01 GMT 2021","7186","Chrome","pom/models_pom.test.ts","","","","Models Page Object Model",""
"passed","Fri Dec 03 14:48:37 GMT 2021","Fri Dec 03 14:48:40 GMT 2021","2942","iPhone 11","basics/first.test.ts","","","","first basic test",""
"failed","Fri Dec 03 14:44:53 GMT 2021","Fri Dec 03 14:45:12 GMT 2021","19144","Chrome","pom/login_pom.test.ts","","","","Login Page Object Model",""
"passed","Fri Dec 03 14:48:43 GMT 2021","Fri Dec 03 14:48:45 GMT 2021","2319","iPhone 11","basics/third.test.ts","","","","third basic test",""
"passed","Fri Dec 03 14:49:05 GMT 2021","Fri Dec 03 14:49:24 GMT 2021","18546","iPhone 11","pom/models_pom.test.ts","","","","Models Page Object Model",""
"failed","Fri Dec 03 14:45:31 GMT 2021","Fri Dec 03 14:45:49 GMT 2021","17989","Firefox","pom/login_pom.test.ts","","","","Login Page Object Model",""
"passed","Fri Dec 03 14:44:52 GMT 2021","Fri Dec 03 14:44:54 GMT 2021","2094","Chrome","basics/third.test.ts","","","","third basic test",""
"passed","Fri Dec 03 14:48:40 GMT 2021","Fri Dec 03 14:48:40 GMT 2021","1","iPhone 11","basics/getRunTimeConfig.test.ts","Get runtime config","","","should return config",""
"passed","Fri Dec 03 14:45:26 GMT 2021","Fri Dec 03 14:45:29 GMT 2021","2846","Firefox","basics/second.test.ts","","","","second basic test",""
"passed","Fri Dec 03 14:44:47 GMT 2021","Fri Dec 03 14:44:49 GMT 2021","1968","Chrome","basics/getRunTimeConfig.test.ts","Get runtime config","","","should return config",""
